"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","pvc","test_创建pvc","1","0","0","0","0"
"","容器组","test_查看容器组细节","0","0","1","0","0"
"","无状态应用","test_停止无状态应用编排","0","0","1","0","0"
"","命名空间","test_查看Yaml","0","0","1","0","0"
"","pvc","test_查看PVC事件","0","0","1","0","0"
"","无状态应用","test_恢复无状态应用编排","0","0","1","0","0"
"","pv","test_查看PV列表","0","0","1","0","0"
"","无状态应用","test_查看无状态应用yaml","0","0","1","0","0"
"","pv","test_编辑PV","0","0","1","0","0"
"","pv","test_查看PV基本信息","0","0","1","0","0"
"","容器组","test_查看容器组列表","0","0","1","0","0"
"","命名空间","test_新增命名空间","0","0","1","0","0"
"","","","0","0","1","0","0"
"","容器组","test_查看容器组监控数据","0","0","1","0","0"
"","pv","test_查看PV事件","0","0","1","0","0"
"","无状态应用","test_编辑无状态应用","1","0","0","0","0"
"","pvc","test_查看PVC列表","0","0","1","0","0"
"","容器组","test_删除容器组","0","0","1","0","0"
"","无状态应用","test_查看无状态应用列表","0","0","1","0","0"
"","容器组","test_查看容器组的yaml","0","0","1","0","0"
"","pvc","test_查看PVC基本信息","1","0","0","0","0"
"","pv","test_新增pv","1","0","0","0","0"
"","命名空间","test_查看命名空间","1","0","0","0","0"
