"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Apr 30 15:56:00 CST 2021","Fri Apr 30 15:56:00 CST 2021","122","testcase.auto_create","test_容器服务","TestClass","","","test_创建pvc","创建pvc,params:{'name': 'autoaddpvc', 'namespaceId': '{namespace_id}', 'storageClassId': 'baoliucunculei', 'storage': '10Gi', 'accessModes[0]': 'ReadWriteOnce'}"
"passed","Fri Apr 30 15:56:02 CST 2021","Fri Apr 30 15:56:04 CST 2021","2227","testcase.auto_create","test_容器服务","TestClass","","","test_查看容器组细节","查看容器组细节,params:{'clusterId': '{clusterId}', 'namespaceId': '{namespace_id}', 'id': '{docker_id}'}"
"passed","Fri Apr 30 15:56:02 CST 2021","Fri Apr 30 15:56:02 CST 2021","123","testcase.auto_create","test_容器服务","TestClass","","","test_停止无状态应用编排","停止无状态应用编排,params:{'id': 'autoinitaddwztyy', 'namespaceId': '{namespace_id}'}"
"passed","Fri Apr 30 15:55:59 CST 2021","Fri Apr 30 15:56:00 CST 2021","1150","testcase.auto_create","test_容器服务","TestClass","","","test_查看Yaml","查看命名空间yaml文件,params:{'namespaceId': '{namespace_id}'}"
"passed","Fri Apr 30 15:56:01 CST 2021","Fri Apr 30 15:56:01 CST 2021","116","testcase.auto_create","test_容器服务","TestClass","","","test_查看PVC事件","查看PVC事件,params:{'pageNumber': 1, 'limit': 10, 'clusterId': '{clusterId}', 'namespaceId': '{namespace_id}', 'name': 'autoinitaddpvc', 'kind': 'PersistentVolumeClaim'}"
"passed","Fri Apr 30 15:56:02 CST 2021","Fri Apr 30 15:56:02 CST 2021","124","testcase.auto_create","test_容器服务","TestClass","","","test_恢复无状态应用编排","恢复无状态应用编排,params:{'id': 'autoinitaddwztyy', 'namespaceId': '{namespace_id}'}"
"passed","Fri Apr 30 15:56:01 CST 2021","Fri Apr 30 15:56:01 CST 2021","114","testcase.auto_create","test_容器服务","TestClass","","","test_查看PV列表","查看PV列表,params:{'pageNumber': 1, 'limit': 10, 'detail': 'true', 'clusterId': '{clusterId}'}"
"passed","Fri Apr 30 15:56:02 CST 2021","Fri Apr 30 15:56:02 CST 2021","88","testcase.auto_create","test_容器服务","TestClass","","","test_查看无状态应用yaml","查看无状态应用yaml,params:{'id': 'autoinitaddwztyy', 'namespaceId': '{namespace_id}'}"
"passed","Fri Apr 30 15:56:01 CST 2021","Fri Apr 30 15:56:01 CST 2021","128","testcase.auto_create","test_容器服务","TestClass","","","test_编辑PV","编辑PV,params:{'name': '{pv_name}', 'capacity': 11, 'pvType': 'hostPath', 'clusterId': '{clusterId}', 'storageClassId': 'baoliucunculei', 'config': {'readOnly': 'false', 'type': 'hostpathvolumesource', 'path': '/root/pvstore'}, 'accessModes[0]': 'ReadWriteOnce', 'id': '{pv_id}'}"
"passed","Fri Apr 30 15:56:01 CST 2021","Fri Apr 30 15:56:01 CST 2021","119","testcase.auto_create","test_容器服务","TestClass","","","test_查看PV基本信息","查看PV基本信息,params:{'clusterId': '{clusterId}', 'id': '{pv_id}'}"
"passed","Fri Apr 30 15:56:02 CST 2021","Fri Apr 30 15:56:02 CST 2021","137","testcase.auto_create","test_容器服务","TestClass","","","test_查看容器组列表","查看容器组列表,params:{'pageNumber': 1, 'limit': 10, 'namespaceId': '{namespace_id}', 'clusterId': '{clusterId}'}"
"passed","Fri Apr 30 15:55:56 CST 2021","Fri Apr 30 15:55:59 CST 2021","3304","testcase.auto_create","test_容器服务","TestClass","","","test_新增命名空间","新增命名空间,params:{'name': '{npn}', 'clusterId': '{clusterId}'}"
"passed","Fri Apr 30 15:55:45 CST 2021","Fri Apr 30 15:55:45 CST 2021","66","testcase.auto_create","test_task_common","TestInitDatas","","","test_用户登录获取token",""
"passed","Fri Apr 30 15:56:04 CST 2021","Fri Apr 30 15:56:05 CST 2021","113","testcase.auto_create","test_容器服务","TestClass","","","test_查看容器组监控数据","查看容器组监控数据,params:{'resourceId': '{docker_id}', 'meters[0]': 'container.net_rx_rate', 'meters[1]': 'container.fs_reads_rate', 'resourceType': 'container'}"
"passed","Fri Apr 30 15:56:01 CST 2021","Fri Apr 30 15:56:01 CST 2021","137","testcase.auto_create","test_容器服务","TestClass","","","test_查看PV事件","查看PV事件,params:{'pageNumber': 1, 'limit': 10, 'id': '{pv_id}'}"
"failed","Fri Apr 30 15:56:02 CST 2021","Fri Apr 30 15:56:02 CST 2021","101","testcase.auto_create","test_容器服务","TestClass","","","test_编辑无状态应用","编辑无状态应用,params:{'id': 'autoinitaddwztyy', 'namespaceId': '{namespace_id}', 'data': {'name': 'aaa', 'namespaceId': '{namespace_id}', 'scale': 2, 'image': 'nginx', 'environment': [], 'ports': [], 'imagePullPolicy': 'IfNotPresent', 'privileged': 'false', 'allowPrivilegeEscalation': 'false'}}"
"passed","Fri Apr 30 15:56:00 CST 2021","Fri Apr 30 15:56:01 CST 2021","95","testcase.auto_create","test_容器服务","TestClass","","","test_查看PVC列表","查看PVC列表信息,params:{'pageNumber': 1, 'limit': 10, 'namespaceId': '{namespace_id}'}"
"passed","Fri Apr 30 15:56:05 CST 2021","Fri Apr 30 15:56:05 CST 2021","158","testcase.auto_create","test_容器服务","TestClass","","","test_删除容器组","删除容器组,params:{'namespaceId': '{namespace_id}', 'id': '{docker_id}'}"
"passed","Fri Apr 30 15:56:01 CST 2021","Fri Apr 30 15:56:02 CST 2021","120","testcase.auto_create","test_容器服务","TestClass","","","test_查看无状态应用列表","查看无状态应用列表,params:{'pageNumber': 1, 'limit': 10, 'namespaceId': '{namespace_id}', 'clusterId': '{clusterId}'}"
"passed","Fri Apr 30 15:56:05 CST 2021","Fri Apr 30 15:56:05 CST 2021","145","testcase.auto_create","test_容器服务","TestClass","","","test_查看容器组的yaml","查看容器组的yaml,params:{'namespaceId': '{namespace_id}', 'id': '{docker_id}'}"
"failed","Fri Apr 30 15:56:01 CST 2021","Fri Apr 30 15:56:01 CST 2021","151","testcase.auto_create","test_容器服务","TestClass","","","test_查看PVC基本信息","查看PVC基本信息,params:{'id': 'autoinitaddpvc', 'namespaceId': '{namespace_id}'}"
"failed","Fri Apr 30 15:56:01 CST 2021","Fri Apr 30 15:56:01 CST 2021","131","testcase.auto_create","test_容器服务","TestClass","","","test_新增pv","新增pv,params:{'clusterId': '{clusterId}', 'name': 'autoaddpv', 'capacity': 10, 'pvType': 'hostPath', 'storageClassId': 'baoliucunculei', 'config': {'readOnly': 'false', 'type': 'volumesource', 'path': '/root/pvstore'}, 'accessModes[0]': 'ReadWriteOnce'}"
"failed","Fri Apr 30 15:55:51 CST 2021","Fri Apr 30 15:55:56 CST 2021","4958","testcase.auto_create","test_容器服务","TestClass","","","test_查看命名空间","查看命名空间,params:{'pageNumber': 1, 'limit': 10, 'clusterId': '{clusterId}', 'detail': 'true'}"
